id,country,name,name2,lat,lon,altitude,offshore,height,turbine,count,kw,capacity,date,status,developer,operator,owner,year,PR
1506,England,Scroby Sands,#ND,52.645,1.787,-10,Yes (3 km),144,Siemens.Gamesa.SG.8.0.167,30,2000,60,01/03/2004,Production,E.ON Climate Renewables,E.ON Climate Renewables,E.ON Climate Renewables,2004,0.665
7394,England,Sheringham Shoal,#ND,53.135,1.147,-20,Yes (22 km),144,Siemens.Gamesa.SG.8.0.167,88,3600,316.8,01/09/2012,Production,Equinor ASA/Statkraft/WPO,Equinor ASA,Equinor ASA/Green Investment Bank/Trig/Equitix,2012,0.711
16690,England,Dogger Bank Teesside B,Sofia,54.99,2.23,-25,Yes (170 km),144,Siemens.Gamesa.SG.8.0.167,140,10000,1400,21/09/2017,Approved,Forewind,#ND,RWE,2017,0.711
6353,England,Teesside,#ND,54.648,-1.116,-10,Yes (2 km),144,Siemens.Gamesa.SG.8.0.167,27,2300,62.1,01/08/2013,Production,EDF renewables,EDF renewables,EDF renewables/Dalmore Capital/Pensions Infrastructure Platform,2013,0.714
1623,England,Thanet,#ND,51.43,1.633,-20,Yes (15 km),144,Siemens.Gamesa.SG.8.0.167,100,3000,300,01/09/2010,Production,Vattenfall,Vattenfall,Vattenfall,2010,0.711
16670,England,Thanet 2,#ND,51.41,1.62,-25,Yes (15 km),144,Siemens.Gamesa.SG.8.0.167,34,10000,340,15/03/2019,Planned,Vattenfall,Vattenfall,Vattenfall,2019,0.711
10786,England,Triton Knoll Wind Farm,Part 1,53.479,0.837,-20,Yes (35 km),144,Siemens.Gamesa.SG.8.0.167,90,9500,855,30/07/2018,Construction,RWE/Statkraft,RWE,RWE/J-Power/Kansai Electric Power Co,2018,0.711
7395,England,Walney,Phase 2,53.95,-4.26,,Yes,144,Siemens.Gamesa.SG.8.0.167,102,3600,367.2,01/04/2012,Production,Orsted/Scottish & Southern,Orsted/Siemens,Orsted/Scottish & Southern/PGGM,2012,0.7
16598,England,Walney Extension,#ND,54.087,-3.737,,Yes (20 km),144,Siemens.Gamesa.SG.8.0.167,87,7000,659,01/09/2018,Production,Orsted,Orsted,Orsted/PKA/PFA,2018,0.714
7396,England,West of Duddon Sands,#ND,53.984,-3.464,-20,Yes (15 km),144,Siemens.Gamesa.SG.8.0.167,108,3600,388.8,01/10/2014,Production,Scottish Power/Orsted,Orsted,Scottish Power/Orsted,2014,0.711
21826,England,Westermost Rough,#ND,53.805,0.149,-15,Yes (10 km),144,Siemens.Gamesa.SG.8.0.167,35,6000,210,01/05/2015,Production,Orsted,Orsted,Orsted/Green Investment Bank,2015,0.756
