ID,capacity,diameter,height,manufacturer,lon,lat,type,time_res,bucket,cluster,scalar,offset,run_name,obs_level,country,mode,obs_rank
0003012939_E6,2200.0,110.0,110.0,VESTAS,4.428027209931287,48.80984712759156,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012980_E1,3600.0,131.0,99.0,NORDEX,4.54935317709201,49.33344361092116,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012980_E2,3600.0,131.0,99.0,NORDEX,4.559545334630628,49.33565006919521,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012980_E3,3600.0,131.0,99.0,NORDEX,4.549486463068228,49.32642908811884,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012980_E4,3600.0,131.0,99.0,NORDEX,4.557301442732735,49.32785702916391,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012993_E1,3450.0,117.0,91.0,VESTAS,6.39319485385026,48.85823020776484,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012993_E2,3450.0,117.0,91.0,VESTAS,6.397528362300347,48.8564869005885,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012993_E3,3450.0,117.0,91.0,VESTAS,6.390379218708364,48.85290915306456,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012993_E4,3300.0,117.0,91.0,VESTAS,6.3863472989038685,48.8550937438292,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012993_E5,3300.0,117.0,91.0,VESTAS,6.382280027500559,48.85736919927297,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012999_E1,6000.0,150.0,105.0,A déterminer,4.457220577685285,49.42646888028992,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012999_E2,6000.0,150.0,105.0,A déterminer,4.460342045907656,49.42184651935981,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012999_E3,6000.0,150.0,105.0,A détermnier,4.450044030297096,49.42268950993073,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012999_E4,6000.0,150.0,105.0,A déterminer,4.450905099996651,49.41656618557553,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012999_E5,6000.0,150.0,105.0,A déterminer,4.443308160577282,49.41935394176837,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003013044_E1,3470.0,132.0,86.0,SGRE,4.08917476879159,48.88743617626996,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003013044_E2,3470.0,132.0,86.0,SGRE,4.092782360072067,48.884525278228494,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003013044_E3,3470.0,132.0,86.0,SGRE,4.099089793668034,48.88033036050463,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003013044_E4,3470.0,132.0,86.0,SGRE,4.10352604435634,48.87732155995008,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003013044_E5,3470.0,132.0,86.0,SGRE,4.112682787202869,48.879575217747046,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003013044_E6,3470.0,132.0,86.0,SGRE,4.108283948957202,48.882404130541325,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003013044_E7,3470.0,132.0,86.0,SGRE,4.1038281865570765,48.88514345630651,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003013044_E8,3470.0,132.0,86.0,SGRE,4.096328147686387,48.889709281461826,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003013101_E1,3600.0,117.0,93.0,VESTAS,5.297473526509349,48.88950597497343,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003013101_E2,3600.0,117.0,93.0,VESTAS,5.299509925192964,48.886497941570845,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003013101_E3,3600.0,117.0,93.0,VESTAS,5.301098005891407,48.88322857603098,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003013101_E4,3600.0,117.0,93.0,VESTAS,5.3034241406108995,48.88030484779259,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
