ID,year,month,energy_mwh,n_intervals
BANGOWF1,2022,12,25946.893274166665,8928
BANGOWF1,2023,1,26131.804395833333,8928
BANGOWF1,2023,2,24417.886447499997,8064
BANGOWF1,2023,3,31960.15164333333,8928
BANGOWF1,2023,4,27269.013036666664,8640
BANGOWF1,2023,5,14288.248389166665,8928
BANGOWF1,2023,6,5619.597732499999,8640
BANGOWF1,2023,7,12891.115904166667,8928
BANGOWF1,2023,8,22521.896184999998,8928
BANGOWF1,2023,9,27000.311878333334,8640
BANGOWF1,2023,10,37598.40601583333,8928
BANGOWF1,2023,11,25924.621160833332,8640
BANGOWF1,2023,12,34517.39045583333,8809
BANGOWF2,2021,5,0.0,2135
BANGOWF2,2021,6,2.709408333333333,8640
BANGOWF2,2021,7,13.860599166666667,8928
BANGOWF2,2021,8,0.025013333333333332,8928
BANGOWF2,2021,9,3.1680616666666666,8640
BANGOWF2,2021,10,2.801493333333333,8928
BANGOWF2,2021,11,155.9163275,8640
BANGOWF2,2021,12,265.8082558333333,8928
BANGOWF2,2022,1,9.654486666666665,8928
BANGOWF2,2022,2,2046.8284233333331,8064
BANGOWF2,2022,3,3323.2645666666663,8928
BANGOWF2,2022,4,5229.828565,8640
BANGOWF2,2022,5,7519.882901666667,8928
BANGOWF2,2022,6,10363.900645833333,8640
BANGOWF2,2022,7,15738.398328333333,8928
BANGOWF2,2022,8,15190.2766925,8928
BANGOWF2,2022,9,14604.0966125,8640
BANGOWF2,2022,10,14879.208480833333,8928
BANGOWF2,2022,11,10357.551151666667,8640
BANGOWF2,2022,12,12022.536278333333,8928
BANGOWF2,2023,1,11574.357651666665,8928
BANGOWF2,2023,2,15471.694809999999,8064
BANGOWF2,2023,3,17729.650637500003,8928
BANGOWF2,2023,4,14702.073977499998,8640
BANGOWF2,2023,5,18861.340534166666,8928
BANGOWF2,2023,6,24466.87769583333,8640
BANGOWF2,2023,7,19461.7316225,8928
BANGOWF2,2023,8,12786.223840833332,8928
BANGOWF2,2023,9,15079.237779166666,8640
BANGOWF2,2023,10,18730.509189999997,8928
BANGOWF2,2023,11,14992.841952499999,8640
BANGOWF2,2023,12,19825.527673333334,8809
BLUFF1,2019,12,1.05,119
BLUFF1,2020,1,10377.741666666667,8928
BLUFF1,2020,2,6107.908333333333,8352
BLUFF1,2020,3,10142.908333333333,8928
BLUFF1,2020,4,11710.845584166666,8640
BLUFF1,2020,5,12917.625,8928
BLUFF1,2020,6,13524.259499999998,8640
BLUFF1,2020,7,7786.949749999999,8928
BLUFF1,2020,8,15900.315704166665,8928
BLUFF1,2020,9,15686.115499999998,8640
BLUFF1,2020,10,11134.31675,8928
BLUFF1,2020,11,12026.231916666666,8640
BLUFF1,2020,12,10363.588916666666,8928
BLUFF1,2021,1,7915.553333333333,8928
BLUFF1,2021,2,8301.4245,8064
BLUFF1,2021,3,8371.137166666666,8928
BLUFF1,2021,4,6494.799999999999,8640
BLUFF1,2021,5,10378.183144166665,8928
BLUFF1,2021,6,15001.633333333331,8640
BLUFF1,2021,7,17706.613916666665,8928
BLUFF1,2021,8,13037.402916666666,8928
BLUFF1,2021,9,11490.891666666666,8640
BLUFF1,2021,10,10836.925,8928
BLUFF1,2021,11,9678.099999999999,8640
BLUFF1,2021,12,7488.440833333333,8928
BLUFF1,2022,1,10878.491666666665,8928
BLUFF1,2022,2,9060.84125,8064
BLUFF1,2022,3,9249.682416666667,8928
BLUFF1,2022,4,9281.05,8640
BLUFF1,2022,5,11611.516666666666,8928
BLUFF1,2022,6,14482.824999999999,8640
BLUFF1,2022,7,14349.387999999999,8928
BLUFF1,2022,8,19017.76458333333,8928
BLUFF1,2022,9,11011.822916666666,8640
BLUFF1,2022,10,12851.45,8928
BLUFF1,2022,11,10270.809083333332,8640
BLUFF1,2022,12,9324.516666666666,8928
BLUFF1,2023,1,7763.583333333333,8928
BLUFF1,2023,2,6516.533333333333,8064
BLUFF1,2023,3,7879.9,8928
BLUFF1,2023,4,9618.999999999998,8640
BLUFF1,2023,5,10613.95,8928
BLUFF1,2023,6,20146.941666666666,8640
BLUFF1,2023,7,14033.541666666666,8928
BLUFF1,2023,8,9078.375,8928
BLUFF1,2023,9,9278.416666666666,8640
BLUFF1,2023,10,10793.141666666666,8928
BLUFF1,2023,11,4362.866666666666,8640
BLUFF1,2023,12,6828.476,8809
BOCORWF1,2019,12,51.91416666666667,119
BOCORWF1,2020,1,24486.135666666665,8928
BOCORWF1,2020,2,26516.694583333334,8352
BOCORWF1,2020,3,22057.899999999998,8928
BOCORWF1,2020,4,37237.94525,8640
BOCORWF1,2020,5,40314.9366875,8928
BOCORWF1,2020,6,27635.52858333333,8640
BOCORWF1,2020,7,30526.4055,8928
BOCORWF1,2020,8,44538.8195,8928
BOCORWF1,2020,9,42406.2725,8640
BOCORWF1,2020,10,29919.240583333332,8928
