ID,site_name,region,lon,lat,height,capacity,model,model_source,type,commissioning_date
CROOKWF3,Crookwell 3 Wind Farm,NSW1,149.5424,-34.51659999999999,100.0,57600.0,IEC_Class2_Normalized_Industry_Composite,iec-class2-generic,onshore,2018-01-01
ELAINWF1,Elaine Wind Farm,VIC1,143.9917,-37.757,100.0,83600.0,IEC_Class2_Normalized_Industry_Composite,iec-class2-generic,onshore,2020-01-01
YENDWF1,Yendon Wind Farm,VIC1,144.0237,-37.6352,100.0,144400.0,IEC_Class2_Normalized_Industry_Composite,iec-class2-generic,onshore,2020-01-01
PORTWF,Portland Wind Farm,VIC1,141.50253154362414,-38.39423422818792,100.0,151700.0,IEC_Class2_Normalized_Industry_Composite,iec-class2-generic,onshore,2008-01-01
YAMBUKWF,Yambuk,VIC1,142.0277,-38.318,100.0,30000.0,IEC_Class2_Normalized_Industry_Composite,iec-class2-generic,onshore,2007-01-01
CODRNGTON,Codrington Wind Farm,VIC1,141.9545,-38.2826,100.0,18200.0,BAR_HighSP_5.0MW_134.9,pdensity-class,onshore,2001-01-01
WOOLNTH1,Woolnorth Studland Bay / Bluff Point,TAS1,144.71133884892086,-40.76009784172662,100.0,138000.0,BAR_HighSP_5.0MW_134.9,pdensity-class,onshore,2002-01-01
MOORAWF1,Moorabool Wind Farm,VIC1,144.16984485981308,-37.70342710280374,100.0,312000.0,2023NREL_Bespoke_6MW_196,pdensity-class,onshore,2020-01-01
HALLWF1,Hallett Stage 1 Brown Hill,SA1,138.7082,-33.3156,100.0,94500.0,BAR_HighSP_5.0MW_134.9,pdensity-class,onshore,2008-01-01
HALLWF2,Hallett Stage 2 Hallett Hill,SA1,138.864,-33.5642,100.0,71400.0,BAR_HighSP_5.0MW_134.9,pdensity-class,onshore,2010-01-01
NBHWF1,Hallett 4 North Brown Hill,SA1,138.7044,-33.2991,100.0,132300.0,BAR_HighSP_5.0MW_134.9,pdensity-class,onshore,2012-01-01
BLUFF1,Hallett 5 The Bluff WF,SA1,138.7959,-33.3853,100.0,52500.0,BAR_HighSP_5.0MW_134.9,pdensity-class,onshore,2011-01-01
CHPSTWF1,Chepstowe Wind Farm - VIC,VIC1,143.4962,-37.5943,100.0,6150.0,IEC_Class2_Normalized_Industry_Composite,iec-class2-generic,onshore,2015-01-01
DIAPURWF1,Diapur Wind Farm,VIC1,141.4341,-36.3403,100.0,8000.0,IEC_Class2_Normalized_Industry_Composite,iec-class2-generic,onshore,
MAROOWF1,Maroona Wind Farm,VIC1,142.8218,-37.4338,100.0,6900.0,IEC_Class2_Normalized_Industry_Composite,iec-class2-generic,onshore,2010-01-01
TIMWEST,Timboon West Wind Farm,VIC1,142.9162,-38.5284,100.0,7200.0,IEC_Class2_Normalized_Industry_Composite,iec-class2-generic,onshore,
HEPWIND1,Leonards Hill,VIC1,144.121,-37.4267,100.0,4100.0,IEC_Class2_Normalized_Industry_Composite,iec-class2-generic,onshore,2011-01-01
