postcode,lon,lat,lon_min,lon_max,lat_min,lat_max
15848,14.1489598,52.1511093,14.0057899,14.4702789,52.011181,52.331807
15864,14.028882,52.2036123,13.9328691,14.1038431,52.167724,52.26073
15926,13.7504463,51.8535998,13.4743141,13.8649271,51.726769,51.929246
15936,13.4237779,51.8704195,13.2968002,13.5813749,51.7933346,51.9344501
16230,13.8799329,52.9017532,13.6538761,14.0271601,52.6937259,52.969123
16259,14.015775,52.798072,13.731082,14.331242,52.665885,52.894708
16269,14.0917107,52.7015681,13.972318,14.2569621,52.639337,52.78304
16278,13.9842648,53.0425866,13.7873781,14.2056601,52.9329629,53.1596611
16303,14.2862796,53.0718571,14.1302471,14.3821289,52.986645,53.186524
16306,14.1713939,53.2176433,14.0004951,14.350559,53.1008119,53.2679549
16307,14.3741387,53.2369015,14.26133,14.4502129,53.1259639,53.3300021
16356,13.6740512,52.6205567,13.4966879,13.8583601,52.545439,52.7136489
16727,13.1445842,52.6814335,12.972306,13.250281,52.6303708,52.762827
16775,13.1082776,53.0563903,12.9379219,13.369537,52.7931668,53.185548
16792,13.3655081,53.0054451,13.209344,13.518592,52.9090211,53.081157
16816,12.7724911,52.907837,12.7332099,12.8772109,52.8532239,52.9846049
16818,12.7134051,52.9469826,12.530132,12.986663,52.681714,53.0978311
16845,12.4790414,52.8414145,12.1201161,12.7640071,52.7487629,52.9761571
16866,12.3597869,52.9847887,12.0535899,12.5577661,52.8930449,53.057047
16909,12.5152597,53.1211501,12.290875,12.718471,53.0263739,53.270295
16918,12.3552123,53.2802811,12.3029619,12.4324231,53.2463291,53.321432
16928,12.1805597,53.1344696,12.0154691,12.405348,53.0145229,53.271994
16945,12.1966445,53.3077631,12.014007,12.3526208,53.200649,53.37141
17039,13.3541521,53.6217246,13.0882391,13.4918159,53.496407,53.720328
17089,13.295074,53.76084,13.130165,13.431882,53.6717281,53.8471779
17091,13.1121026,53.6489014,12.957844,13.2682381,53.544555,53.785487
17098,13.5575523,53.6757323,13.4161911,13.6618209,53.5914259,53.7506891
17111,13.0117491,53.8365842,12.8564588,13.236262,53.73081,54.004582
17121,13.1546969,53.9977638,12.986937,13.3425389,53.9294821,54.0555149
17166,12.5882333,53.7500146,12.428534,12.7037229,53.640393,53.830601
17179,12.6871995,53.9602481,12.500671,12.8266919,53.85804,54.0522161
17268,13.547884,53.1816287,13.3220749,13.9124471,52.9873471,53.351325
17291,13.8724781,53.3193989,13.516275,14.1747439,53.138696,53.4350359
17309,13.9995295,53.5025658,13.7996141,14.2076399,53.411213,53.6201061
17321,14.2131801,53.5099964,14.1099822,14.371662,53.397517,53.5926761
17328,14.2150304,53.3003509,14.0992291,14.3184929,53.24868,53.343418
17329,14.3482875,53.3391587,14.2033562,14.4122561,53.3095989,53.383057
17337,13.7749702,53.4409472,13.6208069,13.9174219,53.386284,53.598059
17349,13.5754055,53.5523159,13.3546069,13.6760889,53.441328,53.6049549
17390,13.6231008,53.9004114,13.4841369,13.8298599,53.8550181,53.98826
17391,13.4791037,53.8394543,13.344168,13.641356,53.747303,53.9180301
17392,13.5693771,53.7627547,13.3895929,13.70942,53.694576,53.844855
17438,13.7495169,54.0520998,13.6396818,13.830628,53.9667651,54.0854043
18211,11.9556087,54.1357268,11.8366642,12.022217,54.026672,54.172623
18233,11.6980532,54.0177085,11.5625519,11.773956,53.9331269,54.073661
18239,11.8991692,54.0087741,11.780331,12.021985,53.931201,54.0693691
18246,11.9439117,53.8608661,11.7563441,12.093084,53.7882749,53.985777
18258,12.1023876,53.9330301,11.9793179,12.189433,53.8599549,54.0014021
18273,12.2159732,53.8000621,12.120539,12.29733,53.7500249,53.835306
18276,12.0868308,53.7582395,11.9760701,12.375983,53.633701,53.9032671
18320,12.623599,54.232833,12.4898829,12.7359829,54.187235,54.288931
18334,12.6552351,54.129687,12.463576,12.798653,54.019016,54.235327
18445,12.950689,54.3753858,12.8783509,13.0935629,54.314141,54.439577
18507,13.0377454,54.1048872,12.961811,13.1045481,54.0722439,54.1630999
18519,13.1762052,54.1727883,13.083622,13.3208011,54.116822,54.266134
18573,13.2494742,54.3535874,13.1141371,13.3599002,54.308432,54.421385
19077,11.4134139,53.4627762,11.319512,11.4880959,53.411099,53.546625
19209,11.1698166,53.6175253,11.1030999,11.265961,53.566903,53.66623
19339,12.0278582,52.9647808,11.883093,12.2096951,52.875601,53.0823851
19348,11.9261371,53.1168791,11.6914281,12.078336,53.005329,53.2789031
19357,11.7088789,53.182352,11.550775,11.852863,53.07122,53.274028
19370,11.8776221,53.427957,11.7402399,11.941225,53.372629,53.502334
19374,11.795483,53.5238957,11.630168,11.9747609,53.4234479,53.62566
21037,10.1569956,53.4460678,10.050992,10.249133,53.3950959,53.506635
21039,10.2819319,53.4571328,10.196263,10.3534999,53.4076679,53.496334
21220,10.0433495,53.3630177,9.996415,10.101286,53.3164269,53.4119461
21224,9.9002791,53.4023217,9.8041411,9.9577791,53.334396,53.4579411
21279,9.7396826,53.3720216,9.66858,9.8308709,53.31451,53.42223
21368,10.7366041,53.1876635,10.6276071,10.796423,53.1221921,53.253046
21385,10.1838279,53.116941,10.0371649,10.2867311,53.0432289,53.193547
21394,10.2708963,53.2290763,10.195053,10.357116,53.1873501,53.288728
21398,10.6342747,53.2732104,10.590619,10.6852469,53.2411969,53.307699
21423,10.2022015,53.3657951,10.0910631,10.3561522,53.286819,53.4332939
21483,10.526827,53.4246959,10.4476589,10.6295911,53.36104,53.4945049
21629,9.8206776,53.4307574,9.7263649,9.8620881,53.3644249,53.5052801
21641,9.6080277,53.4427222,9.549675,9.649825,53.41704,53.4731949
21683,9.4622866,53.6454974,9.385622,9.5507029,53.593521,53.691093
21698,9.4720128,53.4591105,9.337451,9.593216,53.3948941,53.505161
21706,9.3786,53.7068002,9.227247,9.5078981,53.64925,53.796451
21717,9.4178987,53.5179587,9.3286179,9.52566,53.4806489,53.571279
21730,9.1117045,53.8479178,8.994721,9.191333,53.7921461,53.8811351
21732,9.2177792,53.8507208,9.1659459,9.2572749,53.8027349,53.879933
21734,9.2252293,53.7844363,9.1418271,9.309338,53.755612,53.8113149
21762,8.904119,53.8088535,8.8302978,8.961774,53.747256,53.8372519
21765,8.8083429,53.7667375,8.75764,8.8679468,53.746231,53.788611
21785,8.9916038,53.8022889,8.9572641,9.0480509,53.7711369,53.840027
22964,10.3990182,53.704053,10.3511029,10.446527,53.672144,53.738606
23570,10.8535751,53.9600008,10.816537,10.9036671,53.9321749,53.9942499
23617,10.6180751,53.9317319,10.533976,10.6891191,53.8794561,53.982173
23619,10.5335426,53.8732858,10.42439,10.6217491,53.834022,53.9204319
23684,10.6899882,54.0353636,10.6099729,10.7310099,53.9885269,54.061375
23701,10.655405,54.104576,10.54411,10.760764,54.047126,54.192896
23730,10.8225089,54.133637,10.7111609,10.947333,54.054278,54.187699
23738,10.8870305,54.2160726,10.780096,11.0310561,54.1715761,54.2703731
23743,10.9688254,54.1864923,10.8870549,11.056027,54.136164,54.2226019
23758,10.8806314,54.3161225,10.6988519,11.016667,54.217926,54.377978
23769,11.132927,54.4700537,11.004229,11.3132599,54.401178,54.536099
23815,10.4662412,53.917691,10.418526,10.5110411,53.899185,53.950235
23818,10.383701,53.9029381,10.3348569,10.444768,53.878928,53.917365
23843,10.3523425,53.8013492,10.2388079,10.43681,53.745971,53.872123
23847,10.4839677,53.7459271,10.3260371,10.633531,53.684574,53.8204379
23858,10.487296,53.8334337,10.391992,10.5644009,53.789075,53.8780641
23860,10.558548,53.7996777,10.512157,10.6063802,53.779284,53.822046
23896,10.5987354,53.6480328,10.52091,10.653876,53.6177529,53.686768
23923,10.8715577,53.8318674,10.747759,11.0424779,53.7795689,53.9244669
23942,10.9828881,53.9536378,10.8947769,11.0902272,53.874579,53.9989769
23970,11.6024161,53.905777,11.4414299,11.6530951,53.856003,53.9383599
24211,10.2988521,54.2240948,10.1456529,10.408681,54.1584771,54.3034431
24217,10.3646553,54.3951262,10.2917089,10.4451071,54.3464311,54.4357651
24229,10.1095486,54.4611615,10.0246581,10.1992291,54.410684,54.4852599
24235,10.2741776,54.402924,10.2086289,10.3109439,54.3792801,54.4335341
24257,10.477031,54.3632287,10.4189101,10.539809,54.316792,54.4030381
24363,9.861506,54.398924,9.820574,9.904533,54.3693269,54.427523
24376,9.940032,54.6746346,9.8699751,10.042944,54.620306,54.738541
24392,9.803084,54.6415512,9.688287,9.8923031,54.575554,54.690914
24616,9.8453357,53.9980856,9.7598629,9.9194738,53.9516069,54.050149
24637,10.1306004,54.1062216,10.065455,10.170943,54.083573,54.150923
24644,9.9220105,54.1237355,9.844067,9.984067,54.0956681,54.165506
24649,9.8889693,53.9505264,9.851489,9.9572829,53.9306519,53.9879751
24802,9.8121381,54.2429706,9.7330409,9.9029001,54.199495,54.28675
24811,9.6194728,54.3909826,9.5469879,9.688122,54.35264,54.454084
24848,9.4997989,54.4005228,9.3755641,9.5897241,54.3625139,54.466212
24850,9.4778631,54.5127196,9.4060049,9.545236,54.4753779,54.565863
24852,9.3579325,54.61059,9.250301,9.4394909,54.5474279,54.6448631
24857,9.6185415,54.4960061,9.5669959,9.675322,54.473987,54.516606
24860,9.5706141,54.6215209,9.4952049,9.626219,54.5822339,54.6509539
24873,9.5218256,54.6586107,9.476241,9.550602,54.6295801,54.68501
24891,9.6386489,54.6382314,9.596386,9.6788911,54.603981,54.676432
24966,9.6640944,54.7303767,9.5933349,9.717644,54.687496,54.7623369
24969,9.1998881,54.689184,9.0623269,9.3051368,54.647375,54.740986
24980,9.1618636,54.7585383,9.070912,9.278143,54.714222,54.801961
24983,9.3201755,54.7685658,9.2450029,9.381157,54.7017909,54.8121939
24989,9.6779546,54.7902666,9.6469409,9.714214,54.756012,54.8050521
25335,9.6058804,53.7543421,9.4857621,9.7468399,53.707653,53.7970131
25358,9.5992033,53.8206106,9.499637,9.6782108,53.768107,53.873449
25376,9.4431567,53.8276018,9.3674381,9.510378,53.8039241,53.8477261
25541,9.1150566,53.9024485,9.017387,9.2145109,53.877421,53.950311
25554,9.3645367,53.9269929,9.2748458,9.4486931,53.868765,53.986235
25557,9.4019255,54.1217671,9.3111471,9.516781,54.0623,54.178055
25560,9.4682239,54.0505707,9.3787569,9.559556,54.0050771,54.0995781
25563,9.7256737,53.9200373,9.68429,9.834269,53.8899691,53.974808
25572,9.2396429,53.914794,9.198562,9.310724,53.871451,53.991558
25582,9.5122821,54.0031231,9.434246,9.589149,53.967658,54.0509841
25584,9.3408035,54.0551063,9.2859238,9.3986711,54.029612,54.071016
25588,9.4475216,53.9698338,9.403646,9.487883,53.935835,54.026892
25693,9.1145506,53.9902268,8.994699,9.1840181,53.9469009,54.040071
25704,9.0622852,54.1040117,8.9321071,9.205705,54.038186,54.150795
25709,8.9828157,53.9563265,8.894722,9.063912,53.9116761,54.0345259
25718,8.9090103,54.0057283,8.8045761,8.9766179,53.951728,54.045923
25727,9.1951758,54.0499216,9.126259,9.2605641,54.0046419,54.0940009
25746,9.0911487,54.1897815,8.950077,9.212318,54.161107,54.244316
25764,8.9138644,54.2031076,8.8217131,9.0139711,54.136127,54.2878919
25767,9.2724517,54.1428732,9.1934072,9.4421959,54.0867139,54.207306
25774,9.015959,54.327581,8.9065169,9.0684329,54.2485611,54.378744
25797,9.0120781,54.1572664,8.9456649,9.0594141,54.1352779,54.1827669
25813,9.0593285,54.456652,8.9293099,9.1723689,54.409015,54.5210389
25821,8.953368,54.5971395,8.8082331,9.0788922,54.557289,54.679345
25849,8.6565662,54.5304821,8.5873708,8.7086311,54.489108,54.557901
25852,8.9171557,54.6495861,8.858517,8.976504,54.6140449,54.6651089
25860,9.0811415,54.5212573,9.0352789,9.140757,54.500317,54.565868
25872,9.2457535,54.4645251,9.168743,9.327093,54.42072,54.491482
25873,9.1488069,54.4498694,9.1139219,9.1945559,54.418273,54.4855741
25884,9.153633,54.5765418,9.0945651,9.26742,54.5430651,54.628712
25899,8.7450662,54.7562578,8.678435,8.942857,54.6820319,54.840748
26180,8.2159441,53.2589924,8.1049208,8.3153659,53.188898,53.3541191
26203,8.1523158,53.0466804,8.0506119,8.25492,52.9989261,53.114086
26215,8.1133914,53.2551955,8.030337,8.200014,53.1770549,53.343575
26219,7.9709041,53.015766,7.898091,8.10278,52.964103,53.085216
26345,8.0028132,53.3712609,7.929525,8.10524,53.304493,53.4671071
26349,8.2416234,53.3440757,8.1639821,8.3191651,53.2842879,53.4541618
26382,8.1127474,53.5215154,8.090635,8.166039,53.5058479,53.5296019
26386,8.1079794,53.5545104,8.0798099,8.1530029,53.5284939,53.580537
26388,8.0657794,53.5846108,7.9935481,8.157609,53.538365,53.637822
26389,8.0754004,53.5186109,8.030688,8.1176559,53.501933,53.55939
26441,7.8530269,53.5552555,7.815215,7.9533689,53.501094,53.602599
26553,7.4603692,53.6567116,7.3137911,7.5578869,53.6190409,53.68676
26624,7.3569377,53.4890069,7.240554,7.4201869,53.396484,53.537712
26632,7.390384,53.4000234,7.279292,7.542415,53.3481649,53.4674219
26655,7.9322363,53.2782834,7.794418,8.0605679,53.165329,53.351838
26670,7.7624034,53.2895011,7.6658141,7.8856551,53.232078,53.375846
26683,7.7021995,53.0767864,7.6121359,7.783166,53.019122,53.1856559
26759,7.2097703,53.4219551,7.1332671,7.2859681,53.385352,53.460516
26802,7.4800141,53.3076066,7.299164,7.5598219,53.2725769,53.3756929
26817,7.5456731,53.1301191,7.494373,7.606346,53.034014,53.2169449
26826,7.3214695,53.1441593,7.24677,7.4132089,53.1009009,53.22983
26849,7.6429777,53.2484456,7.5908191,7.6923141,53.222007,53.2811611
26892,7.3428451,52.9591381,7.2010821,7.439969,52.8869199,53.031548
26899,7.2429362,53.0624758,7.1992811,7.3195549,53.006793,53.1173731
26903,7.521641,52.9911098,7.4368271,7.586555,52.9507459,53.0434219
26904,7.5320456,52.9256777,7.439808,7.6019689,52.887082,52.9596159
26906,7.231583,52.965979,7.1814141,7.302311,52.941155,52.983168
26907,7.2287243,52.9283927,7.1531541,7.301654,52.91148,52.947397
26919,8.4522801,53.3184064,8.4207121,8.5014141,53.284898,53.3765869
26937,8.3431887,53.4620389,8.309184,8.4104781,53.4241369,53.500149
26939,8.3556771,53.3361078,8.268524,8.450528,53.233533,53.391981
26969,8.3063997,53.5571763,8.227043,8.476988,53.47644,53.6182469
27211,8.7339691,52.8754288,8.6276679,8.8890169,52.7713321,52.962204
27239,8.5945111,52.7992829,8.4503059,8.703357,52.7284629,52.850761
27245,8.8082741,52.5680196,8.7336051,8.9006579,52.5295589,52.6456271
27246,8.9370712,52.6552209,8.908886,9.0202801,52.6309511,52.6956009
27248,8.6762914,52.7393688,8.6296,8.7482481,52.684143,52.777143
27249,8.8945069,52.7015517,8.8466259,8.9491729,52.629505,52.7483311
27251,8.7673704,52.7542053,8.6824651,8.8056551,52.710049,52.790058
27252,8.8430973,52.7431603,8.7772741,8.8927839,52.713539,52.766316
27254,8.9858627,52.7161903,8.9132851,9.029772,52.67646,52.7394831
27257,8.8372668,52.7921515,8.802307,8.8975891,52.7540319,52.830698
27305,8.9463465,52.8163226,8.877679,9.067872,52.7454319,52.8978501
27308,9.3859841,52.9119104,9.267653,9.4639909,52.821147,53.028086
27321,9.0339242,52.9501873,8.929793,9.124852,52.888578,53.009404
27324,9.2399294,52.7828941,9.162294,9.325854,52.739579,52.8222871
27327,9.0306824,52.8963504,8.9815989,9.116356,52.8410759,52.92689
27337,9.1405579,52.9203449,9.072843,9.1887239,52.8930829,52.973473
27367,9.2151487,53.0987094,9.1525299,9.3638981,53.012575,53.2128571
27383,9.4735203,53.1651369,9.3602089,9.651349,53.1081378,53.2462751
27389,9.5927655,53.2098622,9.4516699,9.7581359,53.134402,53.259592
27404,9.2725744,53.2679831,9.075483,9.4471199,53.1754921,53.3875698
27412,9.0859138,53.2389675,8.989597,9.2541659,53.1440821,53.336781
27432,9.1134911,53.4980712,8.894997,9.282923,53.407224,53.596866
27446,9.2582355,53.3996924,9.0640928,9.375272,53.329349,53.4717991
27478,8.722471,53.8003927,8.5749769,8.8638608,53.7589089,53.849227
27580,8.5730829,53.5873253,8.5154681,8.600742,53.5636761,53.607112
27607,8.634534,53.6647241,8.5076241,8.7609999,53.593147,53.73638
27612,8.5670642,53.4515614,8.4922608,8.7845529,53.39441,53.516091
27624,8.852275,53.6050719,8.683742,8.9956371,53.51959,53.691472
27632,8.572356,53.7019735,8.4824771,8.705092,53.649553,53.7628059
27637,8.5926401,53.7660747,8.516234,8.713472,53.7321351,53.8224561
27638,8.5232806,53.6399907,8.4824771,8.588746,53.618264,53.686532
27777,8.5436228,53.0515645,8.4274869,8.6355401,52.96508,53.1277471
27793,8.4064497,52.8883779,8.3066689,8.4819431,52.820179,52.9405339
27801,8.4324845,52.9729762,8.3144579,8.5126019,52.904274,53.023558
28197,8.7056215,53.1047574,8.6458181,8.7887841,53.067046,53.1279809
28211,8.8471788,53.0807167,8.8274749,8.8758521,53.074072,53.091403
28237,8.7069552,53.1317586,8.6543939,8.7918899,53.1065059,53.152251
28307,8.9391504,53.0385916,8.8958299,8.9803378,53.0110021,53.059589
28357,8.8778703,53.1190688,8.775364,8.9833,53.0949551,53.164055
28777,8.5277711,53.2098621,8.4815931,8.567545,53.182045,53.228932
28790,8.5750401,53.2444387,8.4805609,8.7026569,53.1761549,53.3670569
28816,8.7178351,53.0063839,8.6429861,8.8176029,52.935745,53.053037
28832,9.0726476,53.0230093,8.9157841,9.1428421,52.9856901,53.056322
28857,8.8606613,52.9092262,8.731478,8.952214,52.835531,52.9739119
28876,9.0474256,53.0791242,8.9615751,9.1510718,53.036349,53.1041711
29221,10.0821322,52.613917,10.058321,10.1075869,52.605835,52.63141
29320,10.1135268,52.8084526,9.991326,10.2030071,52.7450151,52.897244
29323,9.8346462,52.6483673,9.734399,9.887972,52.595472,52.6897799
29353,10.2898931,52.6093995,10.242156,10.355485,52.582482,52.631004
29355,10.253733,52.6503558,10.21069,10.2977869,52.6319731,52.672589
29361,10.2564092,52.6771309,10.164807,10.2880469,52.657125,52.702855
29378,10.7961985,52.6936518,10.654011,10.9025551,52.6023161,52.79661
29386,10.6136219,52.7211086,10.4730109,10.670143,52.64167,52.796003
29392,10.5467141,52.5866149,10.4875199,10.586768,52.557636,52.616227
29393,10.4667584,52.6477787,10.3798331,10.5382859,52.6005289,52.694995
29399,10.5914499,52.6257946,10.5117479,10.7240721,52.5583529,52.6691641
29413,10.8767222,52.7836781,10.755104,11.0898221,52.701766,52.856148
29416,11.3461352,52.7934869,11.2379551,11.417282,52.7222691,52.9039401
29439,11.1538641,52.9856654,11.0644999,11.259434,52.924022,53.0342861
29487,11.0359408,52.9370099,10.995137,11.0905849,52.9090379,52.97152
29525,10.5961231,52.9828429,10.466418,10.700782,52.8791119,53.0410771
29559,10.6212456,52.8937559,10.4402139,10.7575731,52.809149,52.9459469
29582,10.3704327,53.0572224,10.3120759,10.414854,53.004976,53.1157829
29690,9.6538997,52.6741272,9.480247,9.7612129,52.5994079,52.760095
30539,9.835124,52.3253119,9.802928,9.8839401,52.305337,52.354944
30823,9.5850153,52.4158598,9.525312,9.6203871,52.397948,52.43533
30880,9.8482706,52.2812522,9.7629131,9.9141411,52.261475,52.3259679
30890,9.4806112,52.3437535,9.3989851,9.5686851,52.260621,52.400583
30900,9.7226741,52.5390729,9.579186,9.826894,52.4887979,52.638067
30926,9.5688702,52.3903042,9.488345,9.6654731,52.344696,52.422841
30938,9.8923998,52.5249072,9.7805461,9.9966869,52.46113,52.6078861
30952,9.6518689,52.297583,9.6147199,9.7028709,52.2606931,52.356375
30982,9.7492444,52.2466018,9.689245,9.827938,52.170295,52.2977529
30989,9.5750772,52.3253469,9.525842,9.640825,52.2784831,52.3694091
31079,9.9059522,52.0405985,9.8187451,9.9758799,51.961524,52.08422
31094,9.6801165,52.0407831,9.657454,9.7094799,52.0230671,52.054878
31157,9.8333352,52.2395766,9.7689228,9.9351721,52.1962871,52.27022
31167,10.1216655,52.0007254,10.0172061,10.2061299,51.955405,52.0595361
31180,9.8819351,52.2140327,9.846043,9.948218,52.15841,52.237727
31185,10.1984322,52.2083557,10.1315839,10.2648479,52.1167919,52.234658
31188,10.1242568,52.0861374,10.065093,10.2030299,52.0413939,52.138505
31234,10.3147311,52.4023929,10.129605,10.3859041,52.3539869,52.44883
31241,10.1883475,52.2790266,10.1234659,10.260038,52.2453689,52.299275
31246,10.233088,52.2429046,10.140798,10.301707,52.2125739,52.283368
31249,10.0731388,52.2621392,9.995318,10.143866,52.222184,52.3418581
31303,10.0083967,52.4827623,9.918759,10.102847,52.4074609,52.5404499
31311,10.1603184,52.4589396,10.0542279,10.3032311,52.39032,52.526386
31319,9.975787,52.3134289,9.8615481,10.0821849,52.279964,52.370178
31535,9.4403547,52.5620786,9.238502,9.658854,52.438626,52.676968
31582,9.2084143,52.6380917,9.1631779,9.3086,52.591122,52.6913089
31592,9.0361189,52.5184788,8.939569,9.1096559,52.4570179,52.5608989
31600,8.9066686,52.5175929,8.7672799,8.956274,52.459287,52.5884999
31608,9.1410581,52.6611261,9.065438,9.1988691,52.632053,52.690963
31613,9.0704483,52.7097126,9.0063631,9.1520079,52.6581831,52.7358469
31618,9.0919403,52.6002811,9.0391269,9.172579,52.580624,52.662147
31634,9.3739668,52.6643839,9.2824359,9.466958,52.6191401,52.7359729
31655,9.2251409,52.3104444,9.1281519,9.2870469,52.2591229,52.3510021
31832,9.6049895,52.2048941,9.4640439,9.753737,52.128032,52.2647819
31855,9.2522609,52.051324,9.1538778,9.337059,51.9957938,52.1227121
31863,9.5027139,52.1168354,9.435638,9.606978,52.036565,52.167212
32105,8.7464532,52.0848218,8.7066049,8.7730939,52.073224,52.10919
32130,8.54772,52.1475576,8.498104,8.6173199,52.1015101,52.1715851
32257,8.5777547,52.198835,8.475604,8.636222,52.1633341,52.258641
32339,8.6301395,52.3663804,8.5162701,8.724016,52.332764,52.4154339
32427,8.8581164,52.3011708,8.816387,8.9169789,52.2736279,52.3219101
32676,9.2689127,51.8898786,9.1859899,9.346207,51.849674,51.9776609
32694,9.0173133,52.0269121,8.965113,9.107324,51.997635,52.07591
32699,9.1035118,52.0736653,9.0195359,9.194083,52.037161,52.1495029
