ID,site_name,reason
334,Raki,"tiny PMGD plant, absent from GWPT and its Below-Threshold sheet, so no coordinate can be sourced"
350,Huajache,"tiny PMGD plant, absent from GWPT and its Below-Threshold sheet, so no coordinate can be sourced"
414,Las Peñas,"tiny PMGD plant, absent from GWPT and its Below-Threshold sheet, so no coordinate can be sourced"
436,Lebu III,"tiny PMGD plant, absent from GWPT and its Below-Threshold sheet, so no coordinate can be sourced"
