scalar,offset,month,latitude,longitude,cluster,sim,obs,prt,year,season,two_month
0.7297573100098518,1.9249999999999998,1,56.379919799263476,9.928103158001553,0,0.33959107749534234,0.2689570735610826,0.7920027685791347,2016,wint,01
0.6655343353868626,0.7749999999999999,1,55.7643835649671,8.08998767067738,1,0.5667118032939045,0.39591162267829294,0.6986119229864844,2016,wint,01
0.6162174525368502,1.4925000000000002,1,55.13466810225618,14.86338662450099,2,0.4421994655688394,0.35259606702373986,0.7973688221675371,2016,wint,01
0.666173964636551,1.215,1,54.701770358247146,11.50293478205099,3,0.500771990446307,0.39682687870120636,0.7924302602219009,2016,wint,01
0.7165681880493802,2.1900000000000004,1,57.222227267476164,9.953176248307027,4,0.3406088150890935,0.2564875839509611,0.7530268524725976,2016,wint,01
0.6958531601298572,2.1400000000000006,1,55.25934079410755,10.423187417597111,5,0.400540231572815,0.29686072881532155,0.7411508393292439,2016,wint,01
0.724617041118526,0.9975,1,56.53445964228552,11.100269888034292,6,0.570738481642507,0.4748195228778153,0.8319388619308619,2016,wint,01
0.6245102836906758,2.2725,1,55.4920123078661,11.746708913104419,7,0.3706929316663361,0.247335947749393,0.6672259614920907,2016,wint,01
0.7366875779974096,1.7850000000000001,1,55.341566234653605,9.037524276376903,8,0.3386566764800514,0.2590764809436408,0.7650121758603561,2016,wint,01
0.7090624013860458,1.7600000000000002,1,56.59625437103927,8.698549099108135,9,0.40725726167457726,0.32523233277005886,0.7985918567363418,2016,wint,01
0.7123083078965942,1.9574999999999998,2,56.379919799263476,9.928103158001553,0,0.3149943923400552,0.1536934411798183,0.48792437236119773,2016,wint,01
0.6745818811290965,0.7674999999999998,2,55.7643835649671,8.08998767067738,1,0.5005394918192375,0.27933304688605054,0.5580639518987796,2016,wint,01
0.6462132434562219,1.495,2,55.13466810225618,14.86338662450099,2,0.47411779752565747,0.14512605926870825,0.3060970501974345,2016,wint,01
0.6832595324236086,1.1625,2,54.701770358247146,11.50293478205099,3,0.4926879062822437,0.19972733640251655,0.4053830708158275,2016,wint,01
0.6917209647630722,2.2200000000000006,2,57.222227267476164,9.953176248307027,4,0.31296723426207235,0.14930472588351695,0.4770618439836173,2016,wint,01
0.6664784357332463,2.1750000000000003,2,55.25934079410755,10.423187417597111,5,0.38183209264371665,0.1490668403643872,0.39039892988638814,2016,wint,01
0.7279635141870107,0.9825,2,56.53445964228552,11.100269888034292,6,0.5396049273696161,0.2902146647267615,0.5378280479043358,2016,wint,01
0.601189533828534,2.3400000000000003,2,55.4920123078661,11.746708913104419,7,0.369903888651945,0.1100566504052237,0.29752769241304106,2016,wint,01
0.706100848730759,1.8525000000000003,2,55.341566234653605,9.037524276376903,8,0.30714409777423685,0.15098027362172908,0.49156169601118493,2016,wint,01
0.6985441864686597,1.7525000000000004,2,56.59625437103927,8.698549099108135,9,0.39141846391644264,0.21203469380956028,0.5417084612922706,2016,wint,01
0.7781992771956623,1.5500000000000003,3,56.379919799263476,9.928103158001553,0,0.15948837770111068,0.20831051328797887,1.3061171998273338,2016,spring,02
0.6735125525727668,1.1375,3,55.7643835649671,8.08998767067738,1,0.35395012702619855,0.35407483610539403,1.0003523351728767,2016,spring,02
0.5385898307086696,1.9425,3,55.13466810225618,14.86338662450099,2,0.2571714436283433,0.26637486428645685,1.0357871018969511,2016,spring,02
0.6075423217336406,1.5850000000000002,3,54.701770358247146,11.50293478205099,3,0.2940465209398105,0.2735215751409633,0.9301983042232678,2016,spring,02
0.7222357532112695,1.94,3,57.222227267476164,9.953176248307027,4,0.17153715535418274,0.19587391588701436,1.141874572203218,2016,spring,02
0.6526825564240949,2.0100000000000002,3,55.25934079410755,10.423187417597111,5,0.19757797809827798,0.222016744509731,1.1236917527281145,2016,spring,02
0.7003068118274838,1.205,3,56.53445964228552,11.100269888034292,6,0.3480440296225671,0.3713112619831363,1.0668514049380509,2016,spring,02
0.5848915264327328,2.1275000000000004,3,55.4920123078661,11.746708913104419,7,0.17156519618697016,0.18964181349842565,1.1053629623793613,2016,spring,02
0.7760913673467507,1.5200000000000002,3,55.341566234653605,9.037524276376903,8,0.15724617535973637,0.21182238840097908,1.3470749791935304,2016,spring,02
0.7405218479311864,1.6375000000000002,3,56.59625437103927,8.698549099108135,9,0.2353666494197522,0.2652297366054792,1.1268790088117764,2016,spring,02
0.8085622509678705,1.5449999999999997,4,56.379919799263476,9.928103158001553,0,0.20537965963877386,0.13301539468397472,0.6476561258204685,2016,spring,02
0.7121194626379352,1.1400000000000001,4,55.7643835649671,8.08998767067738,1,0.4148346570718665,0.2805668010824409,0.6763340436954745,2016,spring,02
0.5800823808720883,1.8950000000000002,4,55.13466810225618,14.86338662450099,2,0.42050072988166504,0.2058583765927062,0.4895553371587196,2016,spring,02
0.6757688974789446,1.3725000000000003,4,54.701770358247146,11.50293478205099,3,0.3449425676083437,0.24569026664470248,0.7122642715516204,2016,spring,02
0.8041113787006715,1.7574999999999998,4,57.222227267476164,9.953176248307027,4,0.19454086394628273,0.1320090804065214,0.6785673597243415,2016,spring,02
0.720971489686757,1.9100000000000004,4,55.25934079410755,10.423187417597111,5,0.2556954638456961,0.15423807404722367,0.6032100520183704,2016,spring,02
0.7332035438744915,1.1400000000000001,4,56.53445964228552,11.100269888034292,6,0.41782685008245674,0.29032105116127277,0.694835794071106,2016,spring,02
0.6628065185826174,2.0625000000000004,4,55.4920123078661,11.746708913104419,7,0.2458588708895706,0.12497023290305699,0.5083006866943123,2016,spring,02
