cluster,month,scalar,offset,season,two_month
0,1,0.7198398194659795,1.9124999999999999,wint,01
0,2,0.7356309354771701,1.919375,wint,01
0,3,0.7853048336182546,1.71375,spring,02
0,4,0.819043690903957,1.5656249999999998,spring,02
0,5,0.8037721032538849,1.4824999999999997,spring,03
0,6,0.8041158791216382,1.5025,summ,03
0,7,0.7929822810953089,1.4737500000000001,summ,04
0,8,0.7450636656798155,1.6381250000000003,summ,04
0,9,0.7063914701326868,1.8418750000000002,autum,05
0,10,0.695782979434232,1.9812500000000002,autum,05
0,11,0.7015265326352607,1.9225,autum,06
0,12,0.6969648227231298,2.030625,wint,06
1,1,0.6179486853721305,1.02625,wint,01
1,2,0.6283581780749392,1.101875,wint,01
1,3,0.6385792811880765,1.199375,spring,02
1,4,0.6693842665044037,1.2556250000000002,spring,02
1,5,0.6508008927666792,1.4025000000000003,spring,03
1,6,0.6584730470942564,1.2768750000000002,summ,03
1,7,0.657148413453924,1.2868750000000002,summ,04
1,8,0.6690912562156301,1.2625000000000002,summ,04
1,9,0.6470741193473322,1.2268750000000002,autum,05
1,10,0.6296249694238717,1.203125,autum,05
1,11,0.6337920321959676,1.2668750000000002,autum,06
1,12,0.6074585570541453,1.110625,wint,06
2,1,0.578335633777067,1.6581250000000003,wint,01
2,2,0.5882187359391844,1.7375000000000003,wint,01
2,3,0.5565301705685931,1.8025000000000002,spring,02
2,4,0.5630520402826508,1.85375,spring,02
2,5,0.508425030799081,2.03375,spring,03
2,6,0.5182195936330285,1.955,summ,03
2,7,0.5151126427130983,1.9675000000000002,summ,04
2,8,0.5161419179198385,1.98625,summ,04
2,9,0.526293472546845,1.8612500000000003,autum,05
2,10,0.5614536102911888,1.6725000000000003,autum,05
2,11,0.5942605254466473,1.7393750000000003,autum,06
2,12,0.5848301498107061,1.5762500000000004,wint,06
3,1,0.6647569761761941,1.2612500000000002,wint,01
3,2,0.669391279398087,1.3175000000000001,wint,01
3,3,0.6471289068309707,1.3875000000000002,spring,02
3,4,0.6810598361425604,1.345625,spring,02
3,5,0.6581710996099235,1.4450000000000003,spring,03
3,6,0.6532544672681713,1.4612500000000002,summ,03
3,7,0.6502705364986542,1.4318750000000002,summ,04
3,8,0.6412283240462381,1.4918750000000003,summ,04
3,9,0.6443084502004164,1.4275000000000002,autum,05
3,10,0.6500417088003116,1.3750000000000002,autum,05
3,11,0.6566223511981828,1.415,autum,06
3,12,0.6508837675730694,1.3250000000000002,wint,06
4,1,0.6927845147878267,2.2162500000000005,wint,01
4,2,0.7150395384391866,2.2350000000000003,wint,01
4,3,0.7476723977131925,2.05875,spring,02
4,4,0.7915406422933793,1.88375,spring,02
4,5,0.7709503492084195,1.81125,spring,03
4,6,0.7557441240023997,1.9037500000000003,summ,03
4,7,0.7690371894506332,1.7693750000000001,summ,04
4,8,0.7027887143140261,2.015,summ,04
4,9,0.6898318786874549,2.145625,autum,05
4,10,0.671908366669286,2.31375,autum,05
4,11,0.6698232018562414,2.2793750000000004,autum,06
4,12,0.6725033313517179,2.3225000000000002,wint,06
5,1,0.6729474327137666,2.1406250000000004,wint,01
5,2,0.6774022047336155,2.1718750000000004,wint,01
5,3,0.6869641478629349,2.09875,spring,02
5,4,0.7055872938276904,1.9993750000000003,spring,02
5,5,0.6657842953047366,2.0456250000000002,spring,03
5,6,0.6856406296844049,1.9500000000000002,summ,03
5,7,0.6825498513026647,1.8825000000000003,summ,04
5,8,0.6637279805869418,1.9700000000000002,summ,04
5,9,0.6361854186076079,2.15125,autum,05
5,10,0.6409149071950384,2.238125,autum,05
5,11,0.6486384447860671,2.2018750000000002,autum,06
5,12,0.657514695280108,2.2687500000000003,wint,06
6,1,0.7132852149658282,1.0575,wint,01
6,2,0.734919920029625,1.088125,wint,01
6,3,0.7163766150883891,1.179375,spring,02
6,4,0.7426657956681522,1.128125,spring,02
6,5,0.725009296755582,1.2300000000000002,spring,03
6,6,0.7426272231918569,1.19375,summ,03
6,7,0.7289607128431069,1.21375,summ,04
6,8,0.7068815891349588,1.2925000000000002,summ,04
6,9,0.7349515624949083,1.148125,autum,05
6,10,0.7400208045353968,1.1218750000000002,autum,05
6,11,0.7517493318710005,1.091875,autum,06
6,12,0.7147385877624789,1.0362500000000001,wint,06
7,1,0.6006885655746869,2.314375,wint,01
7,2,0.6015398118511237,2.363125,wint,01
7,3,0.6119105454035336,2.2706250000000003,spring,02
7,4,0.6525091302317458,2.1656250000000004,spring,02
7,5,0.6163995916906687,2.1593750000000003,spring,03
7,6,0.6191388806258412,2.1318750000000004,summ,03
7,7,0.60539982227766,2.0531250000000005,summ,04
7,8,0.6050279429445197,2.1275000000000004,summ,04
7,9,0.5860829594626629,2.2950000000000004,autum,05
7,10,0.5825153892067638,2.391875,autum,05
7,11,0.5851173940298464,2.3875,autum,06
7,12,0.5873848164520924,2.443125,wint,06
8,1,0.7167314950166124,1.791875,wint,01
8,2,0.7384320251230732,1.7525000000000004,wint,01
8,3,0.7862883767644533,1.6031250000000001,spring,02
8,4,0.8312923414063598,1.4049999999999998,spring,02
8,5,0.8278819153286778,1.3443749999999999,spring,03
8,6,0.8006292286805186,1.404375,summ,03
8,7,0.7858633748931898,1.4218750000000002,summ,04
8,8,0.7570042276889853,1.4987500000000002,summ,04
8,9,0.7024837657843944,1.7243750000000002,autum,05
8,10,0.6721997812162828,1.8631250000000001,autum,05
8,11,0.6868247946341358,1.8043750000000003,autum,06
8,12,0.6886632641270591,1.8987500000000002,wint,06
9,1,0.6963012638313746,1.77625,wint,01
9,2,0.7153454610701266,1.7843750000000003,wint,01
9,3,0.7528208293760981,1.6918750000000002,spring,02
9,4,0.7968192904758693,1.53125,spring,02
9,5,0.7837535332144372,1.5350000000000001,spring,03
9,6,0.7630264636149209,1.5793750000000002,summ,03
9,7,0.7703908013952026,1.55375,summ,04
9,8,0.7312908926250732,1.6537500000000003,summ,04
9,9,0.6952484526103937,1.7887500000000003,autum,05
9,10,0.6893526944357049,1.876875,autum,05
9,11,0.6804817115673583,1.881875,autum,06
9,12,0.6750849017247629,1.8743750000000001,wint,06
