Model,R²,RMSE,MAE,CV R² Mean,CV R² Std,Train Time (s),Pred Time (s)
Ridge Regression,-0.0036358368986515455,0.2247120030514711,0.14877159707746324,-0.0015246574586532669,0.010208591527356807,0.0038919448852539062,0.00015020370483398438
Lasso Regression,-0.004153358347423808,0.22476993157963077,0.14577831362982138,-0.014149088858566384,0.019068822335861442,0.002109050750732422,8.487701416015625e-05
Elastic Net,-0.004153358347423808,0.22476993157963077,0.14577831362982138,-0.014149088858566384,0.019068822335861442,0.0006611347198486328,4.291534423828125e-05
Support Vector Regression,-0.07586819487887841,0.23265785797212749,0.15445985578485524,-0.05978960008975291,0.026858406209840882,0.036741018295288086,0.009585857391357422
Random Forest,-0.12505423750100197,0.2379166963526247,0.1614263204505063,-0.06421435972937597,0.02361188033000502,0.2223799228668213,0.025976181030273438
Gradient Boosting,-0.37577343583205525,0.2630944281557459,0.17534730589036693,-0.4622091423957988,0.27132353051963287,0.6123127937316895,0.0013959407806396484
