ID,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,year
570714700000000027,0.26492831541218637,0.2086111111111111,0.15758661887694145,0.13885185185185187,0.1541995221027479,0.09959876543209877,0.12944444444444445,0.13574074074074075,0.16012345679012346,0.14869772998805256,0.20925925925925926,0.286194743130227,2015
570714700000000034,0.26492831541218637,0.2086111111111111,0.15758661887694145,0.13885185185185187,0.1541995221027479,0.09959876543209877,0.12944444444444445,0.13574074074074075,0.16012345679012346,0.14869772998805256,0.20925925925925926,0.286194743130227,2015
570714700000000041,0.24536962365591397,0.16177083333333334,0.14743951612903225,0.17956712962962962,0.09198252688172043,0.11042824074074074,0.1424171146953405,0.10346774193548387,0.13527083333333334,0.18846102150537633,0.2160138888888889,0.2258624551971326,2015
570714700000000058,0.24536962365591397,0.16177083333333334,0.14743951612903225,0.17956712962962962,0.09198252688172043,0.11042824074074074,0.1424171146953405,0.10346774193548387,0.13527083333333334,0.18846102150537633,0.2160138888888889,0.2258624551971326,2015
570714700000000065,0.24536962365591397,0.16177083333333334,0.14743951612903225,0.17956712962962962,0.09198252688172043,0.11042824074074074,0.1424171146953405,0.10346774193548387,0.13527083333333334,0.18846102150537633,0.2160138888888889,0.2258624551971326,2015
570714700000000140,0.3343230694037146,0.2917230339105339,0.23561013359400457,0.18343855218855218,0.24365224828934506,0.14415614478114477,0.15786493971977844,0.2031891495601173,0.2657912457912458,0.2202753339850114,0.3214835858585859,0.41950961225154776,2015
570714700000000157,0.3602374551971326,0.2528296356421356,0.21429822417725644,0.18980008417508418,0.07208781362007169,0.13490109427609429,0.1741446725317693,0.1331541218637993,0.22146464646464648,0.21132697947214077,0.3023695286195286,0.34458903551645487,2015
570714700000000171,0.22080645161290322,0.16504464285714285,0.16857974910394266,0.1655,0.15132168458781362,0.10870833333333334,0.1302732974910394,0.10681003584229391,0.1353148148148148,0.16430555555555557,0.20348148148148149,0.3150089605734767,2015
570714700000000188,0.22080645161290322,0.16504464285714285,0.16857974910394266,0.1655,0.15132168458781362,0.10870833333333334,0.1302732974910394,0.10681003584229391,0.1353148148148148,0.16430555555555557,0.20348148148148149,0.3150089605734767,2015
570714700000000195,0.22080645161290322,0.16504464285714285,0.16857974910394266,0.1655,0.15132168458781362,0.10870833333333334,0.1302732974910394,0.10681003584229391,0.1353148148148148,0.16430555555555557,0.20348148148148149,0.3150089605734767,2015
570714700000000201,0.28405913978494624,0.19650793650793652,0.1987410394265233,0.18384722222222222,0.1775089605734767,0.13526388888888888,0.1585573476702509,0.15119175627240145,0.15609722222222222,0.10868279569892474,0.22555555555555556,0.35201612903225804,2015
570714700000000218,0.28405913978494624,0.19650793650793652,0.1987410394265233,0.18384722222222222,0.1775089605734767,0.13526388888888888,0.1585573476702509,0.15119175627240145,0.15609722222222222,0.10868279569892474,0.22555555555555556,0.35201612903225804,2015
570714700000000225,0.28405913978494624,0.19650793650793652,0.1987410394265233,0.18384722222222222,0.1775089605734767,0.13526388888888888,0.1585573476702509,0.15119175627240145,0.15609722222222222,0.10868279569892474,0.22555555555555556,0.35201612903225804,2015
570714700000000232,0.2643037634408602,0.19151488095238095,0.19542473118279569,0.17661666666666667,0.15854032258064515,0.11564166666666667,0.12426612903225806,0.11428763440860215,0.13633333333333333,0.140247311827957,0.2322861111111111,0.3431801075268817,2015
570714700000000249,0.2643037634408602,0.19151488095238095,0.19542473118279569,0.17661666666666667,0.15854032258064515,0.11564166666666667,0.12426612903225806,0.11428763440860215,0.13633333333333333,0.140247311827957,0.2322861111111111,0.3431801075268817,2015
570714700000000256,0.2643037634408602,0.19151488095238095,0.19542473118279569,0.17661666666666667,0.15854032258064515,0.11564166666666667,0.12426612903225806,0.11428763440860215,0.13633333333333333,0.140247311827957,0.2322861111111111,0.3431801075268817,2015
570714700000000263,0.2946415770609319,0.21624338624338624,0.19204301075268818,0.18712962962962962,0.17062724014336916,0.13035185185185186,0.152168458781362,0.12658303464755077,0.1451851851851852,0.14206093189964158,0.20716666666666667,0.33651135005973715,2015
570714700000000270,0.2946415770609319,0.21624338624338624,0.19204301075268818,0.18712962962962962,0.17062724014336916,0.13035185185185186,0.152168458781362,0.12658303464755077,0.1451851851851852,0.14206093189964158,0.20716666666666667,0.33651135005973715,2015
570714700000000287,0.2946415770609319,0.21624338624338624,0.19204301075268818,0.18712962962962962,0.17062724014336916,0.13035185185185186,0.152168458781362,0.12658303464755077,0.1451851851851852,0.14206093189964158,0.20716666666666667,0.33651135005973715,2015
570714700000000294,0.2834109916367981,0.22003968253968254,0.19894862604540023,0.19839506172839505,0.1825388291517324,0.14385185185185184,0.166194743130227,0.1216188769414576,0.14706172839506174,0.14249701314217444,0.2031111111111111,0.34758064516129034,2015
570714700000000300,0.2834109916367981,0.22003968253968254,0.19894862604540023,0.19839506172839505,0.1825388291517324,0.14385185185185184,0.166194743130227,0.1216188769414576,0.14706172839506174,0.14249701314217444,0.2031111111111111,0.34758064516129034,2015
570714700000000317,0.22905873248615183,0.2165922619047619,0.19449739328771587,0.1982154882154882,0.20256801889866405,0.1719402356902357,0.19159335288367546,0.1447967579015966,0.14821548821548822,0.14869868035190617,0.22599957912457913,0.33227639296187683,2015
570714700000000324,0.27255009775171063,0.1969877344877345,0.17849055066797,0.1741813973063973,0.1900639459107201,0.16787457912457912,0.17810158031932224,0.12570462691430434,0.12663930976430976,0.12746415770609318,0.2041077441077441,0.30744134897360703,2015
570714700000000331,0.2909986966438579,0.20202020202020202,0.18855897686542847,0.1912058080808081,0.1915241120886282,0.16290193602693603,0.18721285434995114,0.14131231671554254,0.1355597643097643,0.13521301726946888,0.18674873737373737,0.310386119257087,2015
570714700000000348,0.2924099869664386,0.21025207431457432,0.18889092538286087,0.17919612794612794,0.19121660149885955,0.1549726430976431,0.17956174649723036,0.1431349788204627,0.14774410774410773,0.14419802867383513,0.23911405723905724,0.3464646464646465,2015
570714700000000355,0.3194342619745846,0.23033685064935064,0.21365672857608342,0.2079040404040404,0.22598769957640924,0.18758417508417508,0.21605368198110134,0.16178519061583577,0.16727272727272727,0.16888440860215054,0.2770138888888889,0.37900374714890844,2015
570714700000000362,0.3114247311827957,0.17510371572871572,0.205054578038449,0.20359638047138048,0.22173957315086348,0.18296506734006734,0.2112495927012056,0.1532644998370805,0.1638888888888889,0.16235744542196154,0.21959385521885522,0.3714076246334311,2015
570714700000000379,0.25011827956989247,0.1991517857142857,0.17619354838709678,0.16628055555555554,0.1642231182795699,0.1254472222222222,0.1455,0.12878225806451613,0.126175,0.12738172043010754,0.21314166666666667,0.32831989247311827,2015
570714700000000591,0.30074596774193546,0.23197916666666665,0.22508736559139786,0.2778090277777778,0.26320228494623654,0.24935416666666665,0.26347782258064517,0.15644825268817203,0.21343055555555557,0.16100806451612903,0.24548263888888888,0.46216397849462365,2015
570714700000000638,0.24363575268817203,0.2160342261904762,0.2053024193548387,0.1944861111111111,0.2088239247311828,0.16215972222222222,0.19174731182795698,0.11821908602150538,0.15915277777777778,0.1664784946236559,0.231375,0.3598387096774194,2015
