Feature Set,Num Features,Test R²,RMSE,MAE,CV R² Mean,CV R² Std
All features,18,0.028551018829618857,0.12449656284274194,0.10044014652912459,-0.04349857933378267,0.03879231529040373
Terrain + Spatial,9,0.02155413111482385,0.12494410337325682,0.10081236742696556,-0.027573118770685044,0.03750023890658502
Terrain + Geographic,8,0.011578387578844662,0.12557942185136636,0.10336376184716739,-0.041477975970522205,0.02821726841672833
Terrain + ERA5,9,0.01065851091569392,0.1256378436391495,0.10299263581307658,-0.04311125997853891,0.028943275776856285
Terrain only,6,0.00914077845786998,0.12573417617944468,0.10318768991710302,-0.03209164257714734,0.03130764275954344
